time,event,energy,completed,collision_count,reset_calls
0.0,initial_charged_state,60.0,0,0,1
0.0,task_available,60.0,0,0,1
0.0,decision_C,60.0,0,0,1
18.04999999999997,pickup_reached,56.339887565100625,0,0,1
40.30000000000003,dropoff_reached,51.126016381511135,0,0,1
40.30000000000003,delivery_complete,51.126016381511135,1,0,1
40.30000000000003,task_available,51.126016381511135,1,0,1
40.30000000000003,decision_C,51.126016381511135,1,0,1
61.500000000000334,pickup_reached,46.19573135507819,1,0,1
75.10000000000052,dropoff_reached,43.08604749297858,1,0,1
75.10000000000052,delivery_complete,43.08604749297858,2,0,1
75.10000000000052,task_available,43.08604749297858,2,0,1
75.10000000000052,decision_R,43.08604749297858,2,0,1
86.80000000000068,return_reached,40.17498665085149,2,0,1
86.80000000000068,docking_start,40.17498665085149,2,0,1
91.71774892807048,recharge_start,40.07663167229031,2,0,1
121.69411725578016,recharge_complete,60.0,2,0,1
121.69411725578016,task_available,60.0,2,0,1
121.69411725578016,decision_C,60.0,2,0,1
139.7441172557796,pickup_reached,56.339887565100625,2,0,1
161.99411725577835,dropoff_reached,51.126016381511135,2,0,1
161.99411725577835,delivery_complete,51.126016381511135,3,0,1
161.99411725577835,task_available,51.126016381511135,3,0,1
161.99411725577835,decision_C,51.126016381511135,3,0,1
183.19411725577714,pickup_reached,46.19573135507819,3,0,1
196.79411725577637,dropoff_reached,43.08604749297858,3,0,1
196.79411725577637,delivery_complete,43.08604749297858,4,0,1
196.79411725577637,task_available,43.08604749297858,4,0,1
196.79411725577637,decision_R,43.08604749297858,4,0,1
208.4941172557757,return_reached,40.17498665085149,4,0,1
208.4941172557757,docking_start,40.17498665085149,4,0,1
213.4118661838469,recharge_start,40.07663167229031,4,0,1
243.38823451155662,recharge_complete,60.0,4,0,1
243.38823451155662,task_available,60.0,4,0,1
243.38823451155662,decision_C,60.0,4,0,1
251.1382345115562,pickup_reached,58.45311531205092,4,0,1
260.7882345115557,dropoff_reached,56.02057186867138,4,0,1
260.7882345115557,delivery_complete,56.02057186867138,5,0,1
260.7882345115557,task_available,56.02057186867138,5,0,1
260.7882345115557,decision_C,56.02057186867138,5,0,1
271.1382345115551,pickup_reached,53.631152373049524,5,0,1
284.38823451155434,dropoff_reached,50.69378843511013,5,0,1
284.38823451155434,delivery_complete,50.69378843511013,6,0,1
284.38823451155434,task_available,50.69378843511013,6,0,1
284.38823451155434,decision_R,50.69378843511013,6,0,1
296.13823451155366,return_reached,47.803260569510535,6,0,1
296.13823451155366,docking_start,47.803260569510535,6,0,1
300.59974278563305,recharge_start,47.714030404029174,6,0,1
322.93871238160386,recharge_complete,60.0,6,0,1
322.93871238160386,task_available,60.0,6,0,1
322.93871238160386,decision_C,60.0,6,0,1
330.6887123816034,pickup_reached,58.45311531205092,6,0,1
340.3387123816029,dropoff_reached,56.02057186867138,6,0,1
340.3387123816029,delivery_complete,56.02057186867138,7,0,1
340.3387123816029,task_available,56.02057186867138,7,0,1
340.3387123816029,decision_C,56.02057186867138,7,0,1
382.8387123816005,pickup_reached,46.81045811903623,7,0,1
418.78871238159843,dropoff_reached,38.585936551575166,7,0,1
418.78871238159843,delivery_complete,38.585936551575166,8,0,1
418.78871238159843,task_available,38.585936551575166,8,0,1
418.78871238159843,decision_R,38.585936551575166,8,0,1
464.0387123815959,return_reached,28.396084989049733,8,0,1
464.0387123815959,docking_start,28.396084989049733,8,0,1
468.7562984220938,recharge_start,28.30173326823968,8,0,1
510.5075651538541,recharge_complete,60.0,8,0,1
510.5075651538541,task_available,60.0,8,0,1
510.5075651538541,decision_C,60.0,8,0,1
528.5575651538577,pickup_reached,56.339887565100625,8,0,1
550.8075651538627,dropoff_reached,51.126016381511135,8,0,1
550.8075651538627,delivery_complete,51.126016381511135,9,0,1
550.8075651538627,task_available,51.126016381511135,9,0,1
550.8075651538627,decision_C,51.126016381511135,9,0,1
570.5075651538672,pickup_reached,46.260876793005146,9,0,1
598.2075651538735,dropoff_reached,39.62563326081998,9,0,1
598.2075651538735,delivery_complete,39.62563326081998,10,0,1
598.2075651538735,task_available,39.62563326081998,10,0,1
598.2075651538735,decision_R,39.62563326081998,10,0,1
622.3575651538789,return_reached,33.99041884902823,10,0,1
